Darwin_Corpo,Darwin_Tenis,Darwin_Boca,Gumball_Corpo,Gumball_Camisa,Gumball_Gola,Classe
0,0,0,0,0,5071,Gumball
0,0,0,162,444,31,Gumball
0,0,0,1801,0,0,Gumball
0,0,0,0,1,0,Gumball
0,0,0,1039,0,0,Gumball
0,0,0,569,0,24,Gumball
0,0,0,6717,26,1922,Gumball
0,0,0,47716,0,14593,Gumball
39,0,0,37,32569,212,Gumball
0,0,0,56189,0,15045,Gumball
0,0,0,0,0,2630,Gumball
0,0,0,0,0,1386,Gumball
0,0,0,0,1,45,Gumball
0,0,0,2411,2,2126,Gumball
0,0,0,785,0,10717,Gumball
0,0,0,0,0,35,Gumball
0,0,0,0,55,30621,Gumball
0,0,0,0,0,679,Gumball
0,0,0,0,0,347,Gumball
0,0,0,0,0,387,Gumball
0,0,0,0,0,1941,Gumball
0,0,0,0,0,1829,Gumball
0,151,4,20,0,300,Gumball
0,167,0,14,0,506,Gumball
0,0,0,0,0,8499,Gumball
0,0,0,512,0,159,Gumball
0,0,0,7,0,289,Gumball
0,0,0,0,0,57,Gumball
0,0,0,0,3,610,Gumball
0,44,0,1,3,179,Gumball
0,0,0,0,0,0,Darwin
0,0,0,0,0,1128,Gumball
0,20,0,2,36,649,Gumball
0,0,0,2208,28,6100,Gumball
0,0,0,5993,0,0,Gumball
0,28,0,0,0,447,Gumball
0,0,0,0,0,13679,Gumball
0,0,0,0,0,206,Gumball
0,0,0,1,0,3567,Gumball
0,0,0,206,0,3637,Gumball
0,0,0,199,0,4163,Gumball
0,0,0,47,0,3878,Gumball
0,0,0,198,0,3672,Gumball
0,0,0,383,0,3967,Gumball
0,0,0,397,0,4365,Gumball
0,0,0,311,0,4658,Gumball
0,0,0,104,0,4195,Gumball
0,0,0,239,0,4584,Gumball
0,0,0,0,17,16,Gumball
0,0,0,0,0,30,Gumball
0,0,0,0,0,31,Gumball
0,0,0,0,0,5,Gumball
0,9328,0,0,0,83,Darwin
0,0,0,179,0,4,Gumball
0,0,0,520,0,8,Gumball
0,0,0,179,0,31,Gumball
0,0,0,5,0,807,Gumball
0,3,0,926,0,285,Gumball
0,0,0,1,0,11,Gumball
0,0,0,149,0,3921,Gumball
0,0,0,252,0,4642,Gumball
0,0,0,134,0,4277,Gumball
0,0,0,127,0,3602,Gumball
0,0,0,151,0,3824,Gumball
0,0,0,0,4,2594,Gumball
0,0,0,0,4,567,Gumball
9,0,0,0,0,8234,Gumball
0,0,0,0,0,2670,Gumball
0,0,0,0,58,753,Gumball
0,0,0,0,0,4502,Gumball
0,0,0,53,0,34,Gumball
0,0,0,0,0,134,Gumball
0,0,0,0,0,4657,Gumball
0,0,0,0,0,28,Gumball
0,0,0,393,0,13,Gumball
0,0,0,5,3,0,Gumball
0,0,0,0,0,0,Darwin
0,0,0,0,0,1765,Gumball
11,0,0,0,0,3092,Gumball
